"RelativePath","Length","LastWriteTime","SHA256"
"video_frames_all\detail00023.png","88125","2026-08-03T14:00:11.7266758-04:00","0B124BAB4BF4EEE3408ADFB0B58C7523D1D127B1A5DC7D389ACFAE71A84A0593"
"video_frames_all\detail00025.png","86657","2026-08-03T14:00:11.7925735-04:00","284F4F825C8E02F2DCAEC785F5564D1AF43A04229EE86E1CD647E49F85F2AD9B"
"video_frames_all\detail00027.png","85790","2026-08-03T14:00:11.8587038-04:00","39AEF3EDFEF4BC20EE7F44FFC429E3E33858DD8B9AACB1BB3891582DDF28A561"
"video_frames_all\detail00029.png","84641","2026-08-03T14:00:11.9263039-04:00","801FC4F04530ECAB5571F853509E3C00B8D4982E55AE489D6C957F20C48F3581"
"video_frames_all\detail00031.png","83422","2026-08-03T14:00:11.9933418-04:00","4B0505293137F56B6443842CF14DB684C50EFA0973D210BAD0CB09E0B6F8AC18"
"video_frames_all\detail00033.png","81208","2026-08-03T14:00:12.0595840-04:00","6E359177E71EC66ABCF4C7F39A5C197A205348887217489D3BBBEB45B7CD2CF7"
"video_frames_all\detail00035.png","79988","2026-08-03T14:00:12.1262976-04:00","006073B26865115FBA92F98D07F2C2F5A62A61B1B3E81B2EB586CE3BF8D9F76C"
"video_frames_all\detail00037.png","79804","2026-08-03T14:00:12.1925113-04:00","D1F324687C7910EA93639A086F84B91FEE8697DAF3D4B4AF7DF503E356F93F14"
"video_frames_all\detail00039.png","79747","2026-08-03T14:00:12.2594003-04:00","493A9BD01DB45F63F5DED14E9FA4E1A791B4B7A4C2E2A0C51E3163848C8C6CEF"
"video_frames_all\detail00041.png","79747","2026-08-03T14:00:12.3264506-04:00","493A9BD01DB45F63F5DED14E9FA4E1A791B4B7A4C2E2A0C51E3163848C8C6CEF"
"video_frames_all\detail00043.png","79747","2026-08-03T14:00:12.3938977-04:00","493A9BD01DB45F63F5DED14E9FA4E1A791B4B7A4C2E2A0C51E3163848C8C6CEF"
"video_frames_all\detail00045.png","79747","2026-08-03T14:00:12.4609657-04:00","493A9BD01DB45F63F5DED14E9FA4E1A791B4B7A4C2E2A0C51E3163848C8C6CEF"
"video_frames_all\detail00047.png","79657","2026-08-03T14:00:12.5270690-04:00","3F01C6901272A3C3C5EEA012F29BDFB82033B186BCC8E59ACC7D68CDCE03B683"
"video_frames_all\detail00049.png","79664","2026-08-03T14:00:12.5937354-04:00","39E240C67FF5BA65FEB581E3EFD13A039707A5B264B7C2AF26F96A86A1AD1C93"
"video_frames_all\detail00051.png","79664","2026-08-03T14:00:12.6614037-04:00","39E240C67FF5BA65FEB581E3EFD13A039707A5B264B7C2AF26F96A86A1AD1C93"
"video_frames_all\detail00053.png","79664","2026-08-03T14:00:12.7273578-04:00","39E240C67FF5BA65FEB581E3EFD13A039707A5B264B7C2AF26F96A86A1AD1C93"
"video_frames_all\detail00055.png","78563","2026-08-03T14:00:12.7945724-04:00","528A6B59AC907F50785BC3BC0D307AA695160AC8603104119AC5E7A748DDA247"
